DATE,EUR
17/2/1995,296.1
24/2/1995,295.6
3/3/1995,289.0
10/3/1995,291.7
17/3/1995,290.2
24/3/1995,292.5
31/3/1995,291.4
7/4/1995,293.3
14/4/1995,291.9
21/4/1995,292.4
28/4/1995,291.5
5/5/1995,289.5
12/5/1995,295.4
19/5/1995,294.9
26/5/1995,286.1
2/6/1995,288.4
9/6/1995,288.5
16/6/1995,293.3
23/6/1995,288.4
30/6/1995,287.1
7/7/1995,286.3
14/7/1995,287.6
21/7/1995,284.5
28/7/1995,280.1
4/8/1995,282.2
11/8/1995,289.2
18/8/1995,296.4
25/8/1995,296.8
1/9/1995,294.0
8/9/1995,296.6
15/9/1995,299.7
22/9/1995,288.2
29/9/1995,289.0
6/10/1995,290.5
13/10/1995,290.1
20/10/1995,284.2
27/10/1995,284.4
3/11/1995,286.2
10/11/1995,290.8
17/11/1995,287.0
24/11/1995,286.4
1/12/1995,293.7
8/12/1995,295.4
15/12/1995,292.9
22/12/1995,293.2
29/12/1995,290.7
5/1/1996,298.1
12/1/1996,301.2
19/1/1996,307.5
26/1/1996,316.7
2/2/1996,321.1
9/2/1996,314.0
16/2/1996,309.7
23/2/1996,301.9
1/3/1996,305.9
8/3/1996,306.0
15/3/1996,304.3
22/3/1996,305.4
29/3/1996,304.5
5/4/1996,302.9
12/4/1996,307.4
19/4/1996,304.4
26/4/1996,308.2
3/5/1996,309.9
10/5/1996,308.8
17/5/1996,307.5
24/5/1996,309.4
31/5/1996,307.0
7/6/1996,305.1
14/6/1996,301.2
21/6/1996,300.9
28/6/1996,298.6
5/7/1996,299.0
12/7/1996,299.9
19/7/1996,294.6
26/7/1996,294.9
2/8/1996,294.9
9/8/1996,296.4
16/8/1996,297.5
23/8/1996,296.9
30/8/1996,294.9
6/9/1996,295.7
13/9/1996,298.0
20/9/1996,296.9
27/9/1996,297.2
4/10/1996,298.1
11/10/1996,298.4
18/10/1996,300.0
25/10/1996,298.4
1/11/1996,293.5
8/11/1996,292.3
15/11/1996,293.3
22/11/1996,290.2
29/11/1996,291.8
6/12/1996,291.3
13/12/1996,291.4
20/12/1996,292.5
27/12/1996,293.0
3/1/1997,289.3
10/1/1997,288.5
17/1/1997,291.2
24/1/1997,292.0
31/1/1997,288.7
7/2/1997,289.5
14/2/1997,294.6
21/2/1997,303.8
28/2/1997,310.1
7/3/1997,307.6
14/3/1997,306.8
21/3/1997,304.3
28/3/1997,298.6
4/4/1997,297.2
11/4/1997,305.8
18/4/1997,299.7
25/4/1997,301.7
2/5/1997,300.0
9/5/1997,299.5
16/5/1997,298.0
23/5/1997,295.7
30/5/1997,301.6
6/6/1997,303.7
13/6/1997,302.6
20/6/1997,298.6
27/6/1997,297.9
4/7/1997,289.7
11/7/1997,287.6
18/7/1997,295.6
25/7/1997,303.0
1/8/1997,306.5
8/8/1997,305.5
15/8/1997,300.8
22/8/1997,300.0
29/8/1997,298.5
5/9/1997,295.4
12/9/1997,291.4
19/9/1997,290.3
26/9/1997,293.4
3/10/1997,298.0
10/10/1997,293.6
17/10/1997,292.0
24/10/1997,286.5
31/10/1997,273.0
7/11/1997,268.3
14/11/1997,265.9
21/11/1997,270.6
28/11/1997,266.6
5/12/1997,260.9
12/12/1997,255.6
19/12/1997,260.6
26/12/1997,264.3
2/1/1998,264.8
9/1/1998,258.8
16/1/1998,270.4
23/1/1998,264.5
30/1/1998,284.5
6/2/1998,274.0
13/2/1998,278.7
20/2/1998,276.0
27/2/1998,275.7
